# #"Time" "KineticEnergy" "SolenoidalDissipation" "DilatationalDissipation""
2.600000000000000089e+00 1.266452470205194081e-01 8.748556887516829774e-04 2.562777728117575805e-04
2.649999999999999911e+00 1.265583359649793127e-01 8.925093918049829779e-04 2.574611956609881239e-04
2.700000000000000178e+00 1.264784315913404233e-01 9.104720816575821241e-04 2.569026147206288795e-04
2.750000000000000000e+00 1.264031808876948104e-01 9.285631553771772498e-04 2.496768378609820374e-04
2.799999999999999822e+00 1.263502530682668878e-01 9.475342439062327607e-04 2.524377407666588921e-04
2.850000000000000089e+00 1.263198580582200192e-01 9.671293807953934302e-04 2.492716371953560689e-04
2.899999999999999911e+00 1.263064038655740962e-01 9.865894070305099468e-04 2.466099688416274315e-04
2.950000000000000178e+00 1.263143194072441633e-01 1.006482407139625132e-03 2.424832975251635121e-04
3.000000000000000000e+00 1.263333182606285743e-01 1.026279658587948449e-03 2.404337316143040446e-04
3.049999999999999822e+00 1.263805121895704708e-01 1.046632509974561092e-03 2.444164972336079246e-04
3.100000000000000089e+00 1.264378796334264532e-01 1.067188028243344676e-03 2.375146623511145509e-04
3.149999999999999911e+00 1.265107680800089673e-01 1.088152467266648550e-03 2.322581126281760705e-04
3.200000000000000178e+00 1.265980005125080521e-01 1.110309747261427945e-03 2.350608161033925089e-04
3.250000000000000000e+00 1.267042985257752497e-01 1.132803967300219676e-03 2.364967659422293671e-04
3.299999999999999822e+00 1.268232893187497268e-01 1.156276890751324182e-03 2.333454782027149306e-04
3.350000000000000089e+00 1.269432813389998194e-01 1.181230348731192271e-03 2.316304251717655278e-04
3.399999999999999911e+00 1.270778711366892244e-01 1.206986642601740219e-03 2.357527370537291275e-04
3.450000000000000178e+00 1.272154099866930621e-01 1.234453279800627702e-03 2.368410027851722982e-04
3.500000000000000000e+00 1.273503344647428648e-01 1.263475676488079544e-03 2.391561735537750283e-04
3.549999999999999822e+00 1.274781534909428526e-01 1.293437161027220783e-03 2.436949710484624253e-04
3.600000000000000089e+00 1.275969709591286139e-01 1.324936153595198058e-03 2.471085436219977384e-04
3.649999999999999911e+00 1.277061045247592508e-01 1.358057288785994871e-03 2.522355735500997342e-04
3.700000000000000178e+00 1.277909494401428536e-01 1.391697091507473590e-03 2.555512932269931627e-04
3.750000000000000000e+00 1.278498035504796182e-01 1.425498277684426971e-03 2.566497875293473059e-04
3.799999999999999822e+00 1.278850764674992480e-01 1.459686637810046501e-03 2.569167149594770295e-04
3.850000000000000089e+00 1.278932033935771817e-01 1.493866306335084413e-03 2.564694472136316329e-04
3.899999999999999911e+00 1.278679030970649166e-01 1.527482468199595992e-03 2.538224802770571754e-04
3.950000000000000178e+00 1.278093630842438988e-01 1.560777205179995561e-03 2.499385790575637308e-04
4.000000000000000000e+00 1.277262557599009585e-01 1.594298308097163953e-03 2.464036363733588674e-04
4.049999999999999822e+00 1.276197472988177817e-01 1.628007820938577642e-03 2.425494718355876618e-04
4.099999999999999645e+00 1.274922998362832127e-01 1.661859856518404501e-03 2.393534721169196251e-04
4.150000000000000355e+00 1.273529728193174837e-01 1.696211848122472195e-03 2.386539255151209969e-04
4.200000000000000178e+00 1.272055894226178929e-01 1.731227947669970388e-03 2.377691294797111663e-04
4.250000000000000000e+00 1.270550046202593153e-01 1.766966931812575256e-03 2.383561607162756077e-04
4.299999999999999822e+00 1.269042827722254851e-01 1.803555956909400331e-03 2.420707628009839360e-04
4.349999999999999645e+00 1.267538600575485730e-01 1.841263992578999562e-03 2.465139197227340234e-04
4.400000000000000355e+00 1.266028896241256918e-01 1.880180715543658572e-03 2.524726375249179526e-04
4.450000000000000178e+00 1.264485880016117669e-01 1.920109944269050677e-03 2.604728206736457220e-04
4.500000000000000000e+00 1.262885013651234012e-01 1.960994516120583963e-03 2.698818224863941775e-04
4.549999999999999822e+00 1.261193993571129157e-01 2.002733376435638334e-03 2.806357179961122710e-04
4.599999999999999645e+00 1.259361894719130126e-01 2.045302770022065786e-03 2.913518583996896772e-04
4.650000000000000355e+00 1.257353811041500569e-01 2.088431067300563961e-03 3.018886005679445985e-04
4.700000000000000178e+00 1.255154420410347915e-01 2.131879705315620297e-03 3.112131162058960512e-04
4.750000000000000000e+00 1.252763284409164901e-01 2.175819378624935935e-03 3.194502397110895596e-04
4.799999999999999822e+00 1.250206865940058920e-01 2.220558776944374802e-03 3.270813944975693851e-04
4.849999999999999645e+00 1.247494039039136610e-01 2.265911623022350951e-03 3.341232482420120422e-04
4.900000000000000355e+00 1.244649164356141924e-01 2.312367347883666387e-03 3.405401587617305575e-04
4.950000000000000178e+00 1.241669892817230669e-01 2.359714056297420887e-03 3.459156100778726850e-04
5.000000000000000000e+00 1.238585622367032180e-01 2.407944289200715862e-03 3.510992542821987660e-04
