x y z
333.333333 6.590335 1.907969
339.393939 5.685146 1.907969
345.454545 6.661326 1.907969
351.515152 6.609014 1.907969
357.575758 6.186363 1.907969
363.636364 8.779378 1.907969
369.696970 4.917188 1.907969
375.757576 9.043340 1.907969
381.818182 8.038190 1.907969
387.878788 4.801974 1.907969
393.939394 2.079074 1.907969
400.000000 3.147498 1.907969
406.060606 4.391763 1.907969
412.121212 5.508659 1.907969
418.181818 3.243436 1.907969
424.242424 8.406981 1.907969
430.303030 3.748877 1.907969
436.363636 2.651292 1.907969
442.424242 6.065707 1.907969
448.484848 3.343264 1.907969
454.545455 5.971462 1.907969
460.606061 4.391763 1.907969
466.666667 6.032669 1.907969
472.727273 4.696827 1.907969
478.787879 2.146253 1.907969
484.848485 5.135623 1.907969
490.909091 2.027876 1.907969
496.969697 3.175134 1.907969
503.030303 3.276759 1.907969
509.090909 1.523240 1.907969
515.151515 6.592946 1.907969
521.212121 7.899648 1.907969
527.272727 11.044073 1.907969
533.333333 6.525330 1.907969
539.393939 5.253728 1.907969
545.454545 4.931935 1.907969
551.515152 4.123506 1.907969
557.575758 7.319671 1.907969
563.636364 2.651292 1.907969
569.696970 4.174144 1.907969
575.757576 3.378526 1.907969
581.818182 7.997566 1.907969
587.878788 4.509425 1.907969
593.939394 5.748952 1.907969
600.000000 9.222552 1.907969
0.000000 16.670326 2.861953
6.060606 11.073970 2.861953
12.121212 5.426057 2.861953
18.181818 2.736382 2.861953
24.242424 2.127640 2.861953
30.303030 3.444732 2.861953
36.363636 6.742771 2.861953
42.424242 4.965814 2.861953
48.484848 4.864451 2.861953
54.545455 3.749386 2.861953
60.606061 0.962486 2.861953
66.666667 3.649865 2.861953
72.727273 3.444732 2.861953
78.787879 8.318818 2.861953
84.848485 9.390296 2.861953
90.909091 2.937971 2.861953
96.969697 3.749487 2.861953
103.030303 5.526466 2.861953
109.090909 4.560104 2.861953
115.151515 1.975471 2.861953
121.212121 3.444685 2.861953
127.272727 6.133635 2.861953
133.333333 3.901489 2.861953
139.393939 7.302262 2.861953
145.454545 3.292603 2.861953
151.515152 7.962954 2.861953
157.575758 5.118068 2.861953
163.636364 2.382349 2.861953
169.696970 5.576054 2.861953
175.757576 1.671436 2.861953
181.818182 3.141270 2.861953
187.878788 0.658830 2.861953
193.939394 3.140616 2.861953
200.000000 3.597606 2.861953
206.060606 5.931044 2.861953
212.121212 6.798518 2.861953
218.181818 4.612857 2.861953
224.242424 3.090769 2.861953
230.303030 3.091418 2.861953
236.363636 11.227280 2.861953
242.424242 3.292603 2.861953
248.484848 2.533578 2.861953
254.545455 4.965753 2.861953
260.606061 5.275358 2.861953
266.666667 2.941988 2.861953
272.727273 7.658671 2.861953
278.787879 1.874118 2.861953
284.848485 4.105740 2.861953
290.909091 5.626224 2.861953
296.969697 6.742543 2.861953
303.030303 3.191907 2.861953
309.090909 6.082796 2.861953
315.151515 3.596796 2.861953
321.212121 6.794228 2.861953
327.272727 8.318818 2.861953
333.333333 5.119699 2.861953
339.393939 4.156295 2.861953
345.454545 4.662375 2.861953
351.515152 6.033741 2.861953
357.575758 4.965753 2.861953
363.636364 9.694727 2.861953
369.696970 3.343264 2.861953
375.757576 5.272679 2.861953
381.818182 4.865289 2.861953
387.878788 2.330183 2.861953
393.939394 0.253496 2.861953
400.000000 0.253907 2.861953
406.060606 3.089955 2.861953
412.121212 5.880272 2.861953
418.181818 1.976439 2.861953
424.242424 7.505954 2.861953
430.303030 2.887341 2.861953
436.363636 2.127791 2.861953
442.424242 6.590227 2.861953
448.484848 3.393967 2.861953
454.545455 3.343264 2.861953
460.606061 3.241962 2.861953
466.666667 4.458745 2.861953
472.727273 3.140681 2.861953
478.787879 0.355533 2.861953
484.848485 4.712417 2.861953
490.909091 0.506682 2.861953
496.969697 2.280349 2.861953
503.030303 3.598560 2.861953
509.090909 0.709642 2.861953
515.151515 5.118068 2.861953
521.212121 9.796800 2.861953
527.272727 10.718433 2.861953
533.333333 4.053539 2.861953
539.393939 4.103927 2.861953
545.454545 4.357345 2.861953
551.515152 2.178210 2.861953
557.575758 8.167024 2.861953
563.636364 2.178452 2.861953
569.696970 2.178083 2.861953
575.757576 2.330028 2.861953
581.818182 8.371932 2.861953
587.878788 4.560189 2.861953
593.939394 7.456140 2.861953
600.000000 13.222724 2.861953
0.000000 14.922944 3.815937
6.060606 10.360087 3.815937
12.121212 10.068207 3.815937
18.181818 2.736382 3.815937
24.242424 3.275732 3.815937
30.303030 4.594698 3.815937
36.363636 5.592805 3.815937
42.424242 5.541149 3.815937
48.484848 3.411815 3.815937
54.545455 3.174754 3.815937
60.606061 2.110578 3.815937
66.666667 7.106567 3.815937
72.727273 3.631220 3.815937
78.787879 7.742546 3.815937
84.848485 7.731189 3.815937
90.909091 3.174394 3.815937
96.969697 5.473617 3.815937
103.030303 6.101098 3.815937
109.090909 4.560104 3.815937
115.151515 3.124266 3.815937
121.212121 3.444685 3.815937
127.272727 5.423579 3.815937
133.333333 3.833865 3.815937
139.393939 5.001860 3.815937
145.454545 2.718439 3.815937
151.515152 7.387177 3.815937
157.575758 5.744263 3.815937
163.636364 4.006284 3.815937
169.696970 5.845875 3.815937
175.757576 1.671436 3.815937
181.818182 2.567341 3.815937
187.878788 2.028003 3.815937
193.939394 3.343264 3.815937
200.000000 6.480145 3.815937
206.060606 5.931044 3.815937
212.121212 4.272915 3.815937
218.181818 8.658278 3.815937
224.242424 4.242377 3.815937
230.303030 5.391820 3.815937
236.363636 10.478214 3.815937
242.424242 2.718439 3.815937
248.484848 4.260314 3.815937
254.545455 4.391122 3.815937
260.606061 7.012158 3.815937
266.666667 4.664712 3.815937
272.727273 6.508304 3.815937
278.787879 3.022912 3.815937
284.848485 3.531577 3.815937
290.909091 7.357762 3.815937
296.969697 7.318815 3.815937
303.030303 4.340701 3.815937
