Iteration, Time, p_B0(187, 0, 100.0), p_B0(360, 0, 100.0), p_B0(375, 0, 100.0), p_B0(656, 0, 100.0), p_B0(701, 0, 100.0), p_B0(716, 0, 100.0), p_B0(750, 0, 100.0), p_B0(798, 0, 100.0), p_B0(843, 0, 100.0), p_B0(900, 0, 100.0), p_B0(937, 0, 100.0), p_B0(1031, 0, 100.0), p_B0(1125, 0, 100.0), p_B0(1218, 0, 100.0), p_B0(1312, 0, 100.0), p_B0(1406, 0, 100.0), p_B0(1496, 0, 100.0), rhou0_B0(187, 1, 100.0), rhou0_B0(360, 1, 100.0), rhou0_B0(375, 1, 100.0), rhou0_B0(656, 1, 100.0), rhou0_B0(701, 1, 100.0), rhou0_B0(716, 1, 100.0), rhou0_B0(750, 1, 100.0), rhou0_B0(798, 1, 100.0), rhou0_B0(843, 1, 100.0), rhou0_B0(900, 1, 100.0), rhou0_B0(937, 1, 100.0), rhou0_B0(1031, 1, 100.0), rhou0_B0(1125, 1, 100.0), rhou0_B0(1218, 1, 100.0), rhou0_B0(1312, 1, 100.0), rhou0_B0(1406, 1, 100.0), rhou0_B0(1496, 1, 100.0)
5000, 5.000000000000e+01, 4.458569702542e-02, 5.263366826163e-02, 5.433247720013e-02, 5.845256106456e-02, 6.510656819631e-02, 7.512949220240e-02, 5.170915976218e-02, 2.121989890355e-02, 2.396764127091e-02, 2.623822129217e-02, 3.144558556499e-02, 4.188509910821e-02, 4.363327598614e-02, 4.401932151931e-02, 4.381067548941e-02, 4.357398167957e-02, 4.339842811879e-02, 2.350596290283e-02, -1.174850951897e-03, -3.515129511154e-03, -4.869203005351e-03, -3.090487140786e-02, 5.971712299752e-03, 7.336219696452e-02, 2.091876644764e-03, -3.357308409786e-03, -7.940021783080e-03, -9.267331250224e-03, 2.806437694889e-02, 1.978238142767e-02, 1.328723127627e-02, 1.591830621542e-02, 2.277448882186e-02, 3.340353344818e-02
5500, 5.500000000000e+01, 4.458569903740e-02, 5.263611571542e-02, 5.433402051034e-02, 5.841019213911e-02, 6.579146999479e-02, 7.487559370481e-02, 5.170099617225e-02, 2.126409968882e-02, 2.397038700907e-02, 2.620483653188e-02, 3.162971828610e-02, 4.154574168527e-02, 4.360565348718e-02, 4.385266141189e-02, 4.390212598904e-02, 4.365378713747e-02, 4.340920014871e-02, 2.350596600140e-02, -1.178928823095e-03, -3.516394574159e-03, -5.524273981967e-03, -2.981132611447e-02, 6.448458731632e-03, 7.265043191542e-02, 1.932179468998e-03, -3.116801216991e-03, -7.963670812356e-03, -9.293330156921e-03, 2.673321517313e-02, 2.161355217049e-02, 1.344927434632e-02, 1.584992673065e-02, 2.273386910679e-02, 3.102846410764e-02
6000, 6.000000000000e+01, 4.458570044705e-02, 5.263853739424e-02, 5.433549476067e-02, 5.839649176008e-02, 6.655168189028e-02, 7.488112478535e-02, 5.173906014256e-02, 2.125306916874e-02, 2.400501268010e-02, 2.613939425930e-02, 3.167141548940e-02, 4.156311511085e-02, 4.367266248644e-02, 4.392356404955e-02, 4.404142011273e-02, 4.368626519550e-02, 4.360321414789e-02, 2.350596787225e-02, -1.182956967836e-03, -3.517499605080e-03, -5.730651553967e-03, -2.976049797540e-02, 7.145538091784e-03, 7.224001015315e-02, 1.860718904036e-03, -3.144423074048e-03, -7.913133496483e-03, -9.313812735953e-03, 2.554028891495e-02, 2.346607788003e-02, 1.391005067351e-02, 1.587179025051e-02, 2.248518515510e-02, 2.939560690843e-02
6500, 6.500000000000e+01, 4.458570039686e-02, 5.264093060286e-02, 5.433687996179e-02, 5.830675046378e-02, 6.666947513983e-02, 7.472742364374e-02, 5.180840532855e-02, 2.123400300460e-02, 2.389759257721e-02, 2.615953798792e-02, 3.145105941845e-02, 4.157866748431e-02, 4.408941039985e-02, 4.408834412025e-02, 4.438240825050e-02, 4.366838660904e-02, 4.357635745545e-02, 2.350596739553e-02, -1.186926865762e-03, -3.518390549906e-03, -5.683377819476e-03, -3.150869993109e-02, 6.413241689782e-03, 7.231548387074e-02, 1.877776524520e-03, -3.254313879288e-03, -7.953778252976e-03, -9.233710836293e-03, 2.399019222853e-02, 2.542085866989e-02, 1.452912491150e-02, 1.609006868294e-02, 2.210771306738e-02, 2.793105038400e-02
7000, 7.000000000000e+01, 4.458569896455e-02, 5.264328955324e-02, 5.433816071809e-02, 5.824118689077e-02, 6.622922651652e-02, 7.437617949359e-02, 5.190617537534e-02, 2.126475630339e-02, 2.382494493857e-02, 2.608877337292e-02, 3.160429038074e-02, 4.176133426744e-02, 4.371298096963e-02, 4.406955880789e-02, 4.460403727778e-02, 4.358692082140e-02, 4.350202316692e-02, 2.350596491747e-02, -1.190820004814e-03, -3.519030397741e-03, -5.406711050115e-03, -3.381034782714e-02, 5.328883112120e-03, 7.442499153986e-02, 1.913942192883e-03, -3.070196905538e-03, -7.907215743189e-03, -9.182273644824e-03, 2.253676460490e-02, 2.598024451412e-02, 1.500648496773e-02, 1.599507733599e-02, 2.157003153409e-02, 2.689606483223e-02
7500, 7.500000000000e+01, 4.458569702324e-02, 5.264560610904e-02, 5.433931687765e-02, 5.819155323663e-02, 6.564185993029e-02, 7.577074048338e-02, 5.182665799675e-02, 2.134888875771e-02, 2.451443285070e-02, 2.634175216149e-02, 3.150746728846e-02, 4.220369636136e-02, 4.384260506796e-02, 4.394527997652e-02, 4.426013788642e-02, 4.349971065145e-02, 4.350321032807e-02, 2.350596189568e-02, -1.194607393932e-03, -3.519375646241e-03, -5.098284466428e-03, -3.584378319641e-02, 1.010645993751e-02, 7.533778868798e-02, 1.902511568178e-03, -2.700870693863e-03, -7.838451220926e-03, -9.115375042843e-03, 2.130971024810e-02, 2.732988552182e-02, 1.553093583153e-02, 1.523069489465e-02, 2.105206679819e-02, 2.626288372363e-02
8000, 8.000000000000e+01, 4.458569563503e-02, 5.264786932713e-02, 5.434033328912e-02, 5.815076515991e-02, 6.524404582038e-02, 7.557839989160e-02, 5.211637595481e-02, 2.136202395977e-02, 2.435276310793e-02, 2.585550697000e-02, 3.165687244196e-02, 4.176270946639e-02, 4.336871426162e-02, 4.408717844960e-02, 4.391606433437e-02, 4.346635926407e-02, 4.351479556697e-02, 2.350595996791e-02, -1.198253455720e-03, -3.519402898585e-03, -4.808503680232e-03, -3.622572862204e-02, 9.273460649622e-03, 7.706683525098e-02, 1.790977431590e-03, -3.374605987231e-03, -7.981822093570e-03, -9.081304303038e-03, 1.933183954736e-02, 2.722545224438e-02, 1.628268749416e-02, 1.472293810711e-02, 2.063399058290e-02, 2.580981163818e-02
8500, 8.500000000000e+01, 4.458569553347e-02, 5.265006768601e-02, 5.434119852264e-02, 5.814534734607e-02, 6.507360027406e-02, 7.644168142194e-02, 5.190073451499e-02, 2.141312182212e-02, 2.357382251008e-02, 2.531809984543e-02, 3.159647515188e-02, 4.216744026296e-02, 4.377299781303e-02, 4.388902047532e-02, 4.384626938777e-02, 4.341235021323e-02, 4.352936500782e-02, 2.350596017047e-02, -1.201719713392e-03, -3.519104958349e-03, -4.716939657279e-03, -3.565915835595e-02, 9.380457158012e-03, 7.967135441545e-02, 1.745593941223e-03, -3.465003515185e-03, -7.810502496618e-03, -9.041934765791e-03, 1.932783687186e-02, 2.815656062957e-02, 1.657063355152e-02, 1.470013792885e-02, 2.025097365118e-02, 2.550846540216e-02
9000, 9.000000000000e+01, 4.458569681721e-02, 5.265218651508e-02, 5.434190774516e-02, 5.816024308769e-02, 6.503542830561e-02, 7.601860902264e-02, 5.145713668141e-02, 2.137263904563e-02, 2.452744937899e-02, 2.644780999155e-02, 3.135894622305e-02, 4.171247300779e-02, 4.359755595837e-02, 4.409416107653e-02, 4.384674567756e-02, 4.370531916964e-02, 4.357355736595e-02, 2.350596245561e-02, -1.204969466307e-03, -3.518491716006e-03, -4.812511522610e-03, -3.437303273695e-02, 4.565090532132e-03, 7.903074848164e-02, 1.563400934507e-03, -2.209785217169e-03, -7.479106572299e-03, -9.083411490554e-03, 1.925089137635e-02, 2.762000154590e-02, 1.732199917249e-02, 1.476917105423e-02, 2.037662369440e-02, 2.538551117574e-02
9500, 9.500000000000e+01, 4.458569881938e-02, 5.265421052093e-02, 5.434246151387e-02, 5.821607354006e-02, 6.517040495043e-02, 7.583177342600e-02, 5.134033909456e-02, 2.135683866727e-02, 2.387793804491e-02, 2.636187776349e-02, 3.097056763264e-02, 4.163067238408e-02, 4.372016689124e-02, 4.419476701430e-02, 4.392226471049e-02, 4.472334262113e-02, 4.363135451204e-02, 2.350596557967e-02, -1.207968553938e-03, -3.517582887473e-03, -4.929544063361e-03, -3.258537452137e-02, 1.069207307692e-03, 7.904328988548e-02, 1.429016033926e-03, -3.995733251639e-03, -7.785912404844e-03, -9.051529435004e-03, 2.046962355738e-02, 2.705492902276e-02, 1.767980010341e-02, 1.492392320719e-02, 2.151615379863e-02, 2.522841837132e-02
